Depth	AC	CNL	DEN	GR	PE	RLLD	LIMSTONE	RES
3315.3	173.274	28.497	2.608	41.137	4.208	17.368	2	0
3315.4	182.94	28.284	2.606	44.001	4.264	17.143	2	0
3315.5	174.153	27.829	2.614	40.762	4.275	17.409	2	0
3315.6	188.522	28.775	2.597	46.332	4.232	16.946	2	0
3316.2	179.458	25.275	2.632	54.808	4.206	21.065	2	0
3316.3	168.66	23.117	2.713	40.949	4.384	38.393	2	0
3316.4	167.19	21.591	2.777	38.713	4.57	45.706	2	0
3316.5	166.951	22.289	2.738	37.761	4.453	44.162	2	0
3316.6	168.175	21.649	2.792	40.911	4.608	41.877	2	0
3316.7	173.404	21.848	2.821	48.148	4.642	24.632	2	0
3316.8	177.096	17.516	2.837	42.642	4.51	33.052	2	0
3316.9	174.301	10.907	2.857	26.581	4.271	93.157	2	0
3317	177.398	15.171	2.842	38.327	4.438	43.248	2	0
3317.1	172.177	9.338	2.865	22.361	4.193	124.149	1	0
3317.2	165.129	6.451	2.884	15.462	4.016	221.317	4	0
3317.3	160.541	5.24	2.884	14.076	4.086	296.367	4	0
3317.4	158.201	4.796	2.875	14.047	4.432	354.358	1	0
3317.5	159.527	4.993	2.882	13.997	4.163	318.446	4	0
3317.6	157.627	4.693	2.869	14.014	4.516	369.997	1	0
3317.7	156.466	4.301	2.838	13.572	4.587	418.605	1	0
3317.8	156.652	3.783	2.803	12.944	4.528	522.87	1	0
3317.9	157.299	3.331	2.793	13.27	4.39	787.667	1	0
3318	156.907	3.615	2.794	12.832	4.505	576.455	1	0
3318.1	157.325	3.197	2.796	13.358	4.341	936.519	1	0
3318.2	156.929	2.813	2.812	13.013	4.228	1493.493	1	0
3318.3	156.454	2.403	2.83	12.067	4.203	2009.578	1	0
3318.4	156.218	2.035	2.842	11.676	4.34	2436.476	1	0
3318.5	156.345	2.262	2.835	11.775	4.216	2156.804	1	0
3318.6	156.161	1.958	2.84	11.759	4.434	2637.428	1	0
3318.7	156.051	1.823	2.818	12.29	4.771	3502.501	1	0
3318.8	155.936	1.708	2.781	12.216	5.01	4657.064	0	0
3318.9	155.445	1.48	2.744	11.132	5.051	6071.61	0	0
3319	155.857	1.659	2.768	11.986	5.059	5066.221	0	0
3319.1	155.223	1.391	2.737	11.103	5.004	6731.804	0	0
3319.2	154.686	1.18	2.736	12.109	4.788	9637.72	0	0
3319.3	154.68	1.156	2.752	12.848	4.672	14477.22	1	0
3319.4	154.915	1.196	2.766	11.891	4.79	19046.631	1	0
3319.5	154.754	1.174	2.757	12.819	4.664	16297.367	1	0
3319.6	154.978	1.193	2.767	11.443	4.901	19659.473	0	0
3319.7	155.135	1.15	2.755	10.764	5.309	20091.51	0	0
3319.8	155.203	1.089	2.739	11.7	5.507	21740.84	0	0
3319.9	154.984	1.013	2.74	12.818	5.443	25199.307	0	0
3320	155.189	1.066	2.735	12.151	5.518	22630.525	0	0
3320.1	154.849	0.991	2.743	12.851	5.378	26216.09	0	0
3320.2	154.468	0.932	2.754	11.902	5.11	27722.848	0	0
3320.3	154.58	0.882	2.76	10.684	4.873	27575.969	0	0
3320.4	155.258	0.857	2.755	10.977	4.907	25336.57	0	0
3320.5	154.731	0.869	2.761	10.476	4.824	27449.391	0	0
3320.6	155.506	0.86	2.752	11.179	4.963	23581.201	0	0
3320.7	156.076	0.911	2.746	11.284	5.143	17109.846	0	0
3320.8	156.17	0.995	2.745	11.004	5.257	13275.516	0	0
3320.9	156.056	1.011	2.735	11.207	5.324	13504.625	0	0
3321	156.136	1.02	2.745	11.013	5.284	12766.966	0	0
3321.1	156.055	1.004	2.731	11.343	5.318	13236.009	0	0
3321.2	156.165	0.984	2.724	11.806	5.208	10464.321	0	0
3321.3	156.289	0.929	2.72	12.244	5.065	8849.092	0	0
3321.4	156.668	0.964	2.723	12.593	5.127	11198.812	0	0
3321.5	156.332	0.905	2.72	12.391	5.036	9086.967	0	0
3321.6	156.992	1.067	2.723	12.966	5.197	10904.925	0	0
3321.7	158.328	1.58	2.717	14.908	5.444	6510.152	0	0
