g	C	g	C	NO1	NO2	NO3	NO4	NO5	NO6	NO7	NO8	NO9	NO10	Accuracy of 10 folds	Variances
1.00E-07	1.00E-05	-7.00E+00	-5.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-07	0.0001	-7.00E+00	-4.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-07	0.001	-7.00E+00	-3.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-07	0.01	-7.00E+00	-2.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-07	0.1	-7.00E+00	-1.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-07	1	-7.00E+00	0.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-07	10	-7.00E+00	1.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-07	100	-7.00E+00	2.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-07	1000	-7.00E+00	3.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-07	10000	-7.00E+00	4.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-07	100000	-7.00E+00	5.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-06	1.00E-05	-6.00E+00	-5.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-06	0.0001	-6.00E+00	-4.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-06	0.001	-6.00E+00	-3.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-06	0.01	-6.00E+00	-2.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-06	0.1	-6.00E+00	-1.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-06	1	-6.00E+00	0.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-06	10	-6.00E+00	1.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-06	100	-6.00E+00	2.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-06	1000	-6.00E+00	3.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-06	10000	-6.00E+00	4.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-06	100000	-6.00E+00	5.00E+00	0.591549296	0.563380282	0.535211268	0.549295775	0.563380282	0.5	0.557142857	0.571428571	0.571428571	0.542857143	0.554567404	0.023696849
1.00E-05	1.00E-05	-5.00E+00	-5.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-05	0.0001	-5.00E+00	-4.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-05	0.001	-5.00E+00	-3.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-05	0.01	-5.00E+00	-2.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-05	0.1	-5.00E+00	-1.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-05	1	-5.00E+00	0.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-05	10	-5.00E+00	1.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-05	100	-5.00E+00	2.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-05	1000	-5.00E+00	3.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1.00E-05	10000	-5.00E+00	4.00E+00	0.591549296	0.563380282	0.535211268	0.549295775	0.549295775	0.5	0.557142857	0.571428571	0.557142857	0.542857143	0.551730382	0.022819678
1.00E-05	100000	-5.00E+00	5.00E+00	0.943661972	0.85915493	0.887323944	0.887323944	0.816901408	0.785714286	0.9	0.9	0.9	0.885714286	0.876579477	0.043106293
0.0001	1.00E-05	-4.00E+00	-5.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.0001	0.0001	-4.00E+00	-4.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.0001	0.001	-4.00E+00	-3.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.0001	0.01	-4.00E+00	-2.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.0001	0.1	-4.00E+00	-1.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.0001	1	-4.00E+00	0.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.0001	10	-4.00E+00	1.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.0001	100	-4.00E+00	2.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.0001	1000	-4.00E+00	3.00E+00	0.591549296	0.563380282	0.535211268	0.549295775	0.549295775	0.5	0.557142857	0.571428571	0.557142857	0.542857143	0.551730382	0.022819678
0.0001	10000	-4.00E+00	4.00E+00	0.915492958	0.873239437	0.887323944	0.887323944	0.816901408	0.771428571	0.9	0.9	0.885714286	0.885714286	0.872313883	0.041780935
0.0001	100000	-4.00E+00	5.00E+00	0.971830986	0.929577465	0.943661972	0.901408451	0.915492958	0.9	0.914285714	0.985714286	0.971428571	0.9	0.93334004	0.031177522
0.001	1.00E-05	-3.00E+00	-5.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.001	0.0001	-3.00E+00	-4.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.001	0.001	-3.00E+00	-3.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.001	0.01	-3.00E+00	-2.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.001	0.1	-3.00E+00	-1.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.001	1	-3.00E+00	0.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.001	10	-3.00E+00	1.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.001	100	-3.00E+00	2.00E+00	0.591549296	0.563380282	0.535211268	0.549295775	0.549295775	0.5	0.557142857	0.571428571	0.557142857	0.542857143	0.551730382	0.022819678
0.001	1000	-3.00E+00	3.00E+00	0.915492958	0.85915493	0.887323944	0.887323944	0.816901408	0.771428571	0.9	0.9	0.885714286	0.885714286	0.870905433	0.041962995
0.001	10000	-3.00E+00	4.00E+00	0.971830986	0.929577465	0.943661972	0.901408451	0.915492958	0.9	0.914285714	0.985714286	0.971428571	0.914285714	0.934768612	0.029919023
0.001	100000	-3.00E+00	5.00E+00	0.985915493	0.943661972	0.929577465	0.971830986	0.957746479	0.942857143	0.971428571	0.985714286	0.942857143	0.928571429	0.956016097	0.020537179
0.01	1.00E-05	-2.00E+00	-5.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.01	0.0001	-2.00E+00	-4.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.01	0.001	-2.00E+00	-3.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.01	0.01	-2.00E+00	-2.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.01	0.1	-2.00E+00	-1.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.01	1	-2.00E+00	0.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.01	10	-2.00E+00	1.00E+00	0.591549296	0.563380282	0.535211268	0.549295775	0.549295775	0.5	0.557142857	0.571428571	0.557142857	0.542857143	0.551730382	0.022819678
0.01	100	-2.00E+00	2.00E+00	0.929577465	0.85915493	0.887323944	0.887323944	0.816901408	0.771428571	0.9	0.9	0.9	0.885714286	0.873742455	0.044283173
0.01	1000	-2.00E+00	3.00E+00	0.971830986	0.929577465	0.943661972	0.901408451	0.915492958	0.9	0.914285714	0.985714286	0.971428571	0.914285714	0.934768612	0.029919023
0.01	10000	-2.00E+00	4.00E+00	1	0.943661972	0.929577465	0.957746479	0.957746479	0.942857143	0.971428571	0.985714286	0.942857143	0.928571429	0.956016097	0.022385823
0.01	100000	-2.00E+00	5.00E+00	1	0.957746479	0.971830986	0.971830986	0.985915493	0.942857143	0.985714286	0.985714286	0.971428571	0.957142857	0.973018109	0.016177225
0.1	1.00E-05	-1.00E+00	-5.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.1	0.0001	-1.00E+00	-4.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.1	0.001	-1.00E+00	-3.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.1	0.01	-1.00E+00	-2.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.1	0.1	-1.00E+00	-1.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
0.1	1	-1.00E+00	0.00E+00	0.591549296	0.563380282	0.535211268	0.549295775	0.549295775	0.5	0.557142857	0.571428571	0.557142857	0.542857143	0.551730382	0.022819678
0.1	10	-1.00E+00	1.00E+00	0.915492958	0.85915493	0.901408451	0.887323944	0.845070423	0.785714286	0.9	0.9	0.9	0.885714286	0.877987928	0.036753597
0.1	100	-1.00E+00	2.00E+00	0.957746479	0.915492958	0.943661972	0.901408451	0.915492958	0.914285714	0.928571429	0.971428571	0.971428571	0.914285714	0.933380282	0.02451369
0.1	1000	-1.00E+00	3.00E+00	1	0.971830986	0.943661972	0.943661972	0.957746479	0.942857143	0.985714286	0.985714286	0.942857143	0.942857143	0.961690141	0.021105518
0.1	10000	-1.00E+00	4.00E+00	1	0.971830986	0.957746479	0.971830986	0.957746479	0.957142857	0.985714286	0.985714286	0.971428571	0.957142857	0.971629779	0.014166762
0.1	100000	-1.00E+00	5.00E+00	0.985915493	0.971830986	0.957746479	0.943661972	0.957746479	0.957142857	0.971428571	0.971428571	0.971428571	0.985714286	0.967404427	0.0126556
1	1.00E-05	0.00E+00	-5.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1	0.0001	0.00E+00	-4.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1	0.001	0.00E+00	-3.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1	0.01	0.00E+00	-2.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1	0.1	0.00E+00	-1.00E+00	0.591549296	0.549295775	0.521126761	0.563380282	0.535211268	0.528571429	0.557142857	0.557142857	0.557142857	0.542857143	0.550342052	0.019027185
1	1	0.00E+00	0.00E+00	0.915492958	0.915492958	0.901408451	0.85915493	0.873239437	0.8	0.9	0.914285714	0.928571429	0.914285714	0.892193159	0.036717185
1	10	0.00E+00	1.00E+00	0.971830986	0.943661972	0.915492958	0.929577465	0.887323944	0.914285714	0.914285714	0.971428571	0.957142857	0.928571429	0.933360161	0.026085307
1	100	0.00E+00	2.00E+00	0.985915493	0.943661972	0.943661972	0.915492958	0.957746479	0.942857143	0.985714286	0.985714286	0.957142857	0.957142857	0.95750503	0.021821628
1	1000	0.00E+00	3.00E+00	1	0.985915493	0.957746479	0.957746479	0.929577465	0.928571429	0.985714286	0.971428571	0.971428571	0.957142857	0.964527163	0.022182686
1	10000	0.00E+00	4.00E+00	1	0.985915493	0.943661972	0.957746479	0.929577465	0.942857143	0.985714286	0.971428571	0.971428571	0.928571429	0.961690141	0.023758512
1	100000	0.00E+00	5.00E+00	1	0.985915493	0.943661972	0.957746479	0.929577465	0.942857143	0.985714286	0.971428571	0.971428571	0.928571429	0.961690141	0.023758512
10	1.00E-05	1.00E+00	-5.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
10	0.0001	1.00E+00	-4.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
10	0.001	1.00E+00	-3.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
10	0.01	1.00E+00	-2.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
10	0.1	1.00E+00	-1.00E+00	0.816901408	0.802816901	0.830985915	0.85915493	0.816901408	0.742857143	0.828571429	0.814285714	0.885714286	0.771428571	0.816961771	0.038223874
10	1	1.00E+00	0.00E+00	0.929577465	0.957746479	0.915492958	0.85915493	0.887323944	0.842857143	0.914285714	0.9	0.928571429	0.9	0.903501006	0.032313558
10	10	1.00E+00	1.00E+00	0.929577465	0.901408451	0.929577465	0.929577465	0.901408451	0.928571429	0.971428571	0.971428571	0.985714286	0.928571429	0.937726358	0.0275306
10	100	1.00E+00	2.00E+00	0.957746479	0.943661972	0.915492958	0.887323944	0.943661972	0.942857143	0.971428571	0.985714286	0.957142857	0.928571429	0.943360161	0.026672864
10	1000	1.00E+00	3.00E+00	0.957746479	0.929577465	0.901408451	0.887323944	0.957746479	0.942857143	0.942857143	0.985714286	0.942857143	0.928571429	0.937665996	0.026819771
10	10000	1.00E+00	4.00E+00	0.957746479	0.929577465	0.901408451	0.887323944	0.957746479	0.942857143	0.942857143	0.985714286	0.942857143	0.928571429	0.937665996	0.026819771
10	100000	1.00E+00	5.00E+00	0.957746479	0.929577465	0.901408451	0.887323944	0.957746479	0.942857143	0.942857143	0.985714286	0.942857143	0.928571429	0.937665996	0.026819771
100	1.00E-05	2.00E+00	-5.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
100	0.0001	2.00E+00	-4.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
100	0.001	2.00E+00	-3.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
100	0.01	2.00E+00	-2.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
100	0.1	2.00E+00	-1.00E+00	0.352112676	0.323943662	0.323943662	0.338028169	0.323943662	0.314285714	0.314285714	0.328571429	0.314285714	0.328571429	0.326197183	0.011241634
100	1	2.00E+00	0.00E+00	0.845070423	0.816901408	0.887323944	0.774647887	0.830985915	0.9	0.857142857	0.871428571	0.9	0.871428571	0.855492958	0.037709458
100	10	2.00E+00	1.00E+00	0.788732394	0.873239437	0.901408451	0.802816901	0.873239437	0.885714286	0.857142857	0.914285714	0.928571429	0.871428571	0.869657948	0.042344331
100	100	2.00E+00	2.00E+00	0.788732394	0.887323944	0.901408451	0.802816901	0.873239437	0.9	0.857142857	0.914285714	0.928571429	0.871428571	0.87249497	0.043372838
100	1000	2.00E+00	3.00E+00	0.788732394	0.887323944	0.901408451	0.802816901	0.873239437	0.9	0.857142857	0.914285714	0.928571429	0.871428571	0.87249497	0.043372838
100	10000	2.00E+00	4.00E+00	0.788732394	0.887323944	0.901408451	0.802816901	0.873239437	0.9	0.857142857	0.914285714	0.928571429	0.871428571	0.87249497	0.043372838
100	100000	2.00E+00	5.00E+00	0.788732394	0.887323944	0.901408451	0.802816901	0.873239437	0.9	0.857142857	0.914285714	0.928571429	0.871428571	0.87249497	0.043372838
1000	1.00E-05	3.00E+00	-5.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1000	0.0001	3.00E+00	-4.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1000	0.001	3.00E+00	-3.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1000	0.01	3.00E+00	-2.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1000	0.1	3.00E+00	-1.00E+00	0.295774648	0.295774648	0.295774648	0.295774648	0.295774648	0.3	0.3	0.3	0.285714286	0.3	0.296458753	0.004098113
1000	1	3.00E+00	0.00E+00	0.422535211	0.394366197	0.352112676	0.323943662	0.366197183	0.4	0.385714286	0.357142857	0.414285714	0.371428571	0.378772636	0.028836059
1000	10	3.00E+00	1.00E+00	0.478873239	0.450704225	0.450704225	0.408450704	0.408450704	0.5	0.457142857	0.385714286	0.457142857	0.442857143	0.444004024	0.032731546
1000	100	3.00E+00	2.00E+00	0.478873239	0.450704225	0.450704225	0.408450704	0.408450704	0.5	0.457142857	0.385714286	0.457142857	0.442857143	0.444004024	0.032731546
1000	1000	3.00E+00	3.00E+00	0.478873239	0.450704225	0.450704225	0.408450704	0.408450704	0.5	0.457142857	0.385714286	0.457142857	0.442857143	0.444004024	0.032731546
1000	10000	3.00E+00	4.00E+00	0.478873239	0.450704225	0.450704225	0.408450704	0.408450704	0.5	0.457142857	0.385714286	0.457142857	0.442857143	0.444004024	0.032731546
1000	100000	3.00E+00	5.00E+00	0.478873239	0.450704225	0.450704225	0.408450704	0.408450704	0.5	0.457142857	0.385714286	0.457142857	0.442857143	0.444004024	0.032731546
