g	C	Accuracy
1e-07	1e-05	0.29415347137637027
1e-07	0.0001	0.29415347137637027
1e-07	0.001	0.29415347137637027
1e-07	0.01	0.29415347137637027
1e-07	0.1	0.29415347137637027
1e-07	1.0	0.29415347137637027
1e-07	10.0	0.29415347137637027
1e-07	100.0	0.29415347137637027
1e-07	1000.0	0.29415347137637027
1e-07	10000.0	0.29415347137637027
1e-07	100000.0	0.3812423873325213
1e-06	1e-05	0.29415347137637027
1e-06	0.0001	0.29415347137637027
1e-06	0.001	0.29415347137637027
1e-06	0.01	0.29415347137637027
1e-06	0.1	0.29415347137637027
1e-06	1.0	0.29415347137637027
1e-06	10.0	0.29415347137637027
1e-06	100.0	0.29415347137637027
1e-06	1000.0	0.29415347137637027
1e-06	10000.0	0.33069427527405604
1e-06	100000.0	0.6900121802679658
1e-05	1e-05	0.29415347137637027
1e-05	0.0001	0.29415347137637027
1e-05	0.001	0.29415347137637027
1e-05	0.01	0.29415347137637027
1e-05	0.1	0.29415347137637027
1e-05	1.0	0.29415347137637027
1e-05	10.0	0.29415347137637027
1e-05	100.0	0.29415347137637027
1e-05	1000.0	0.33008526187576126
1e-05	10000.0	0.6906211936662606
1e-05	100000.0	0.9123020706455542
0.0001	1e-05	0.29415347137637027
0.0001	0.0001	0.29415347137637027
0.0001	0.001	0.29415347137637027
0.0001	0.01	0.29415347137637027
0.0001	0.1	0.29415347137637027
0.0001	1.0	0.29415347137637027
0.0001	10.0	0.29415347137637027
0.0001	100.0	0.33008526187576126
0.0001	1000.0	0.6906211936662606
0.0001	10000.0	0.9123020706455542
0.0001	100000.0	0.9591961023142509
0.001	1e-05	0.29415347137637027
0.001	0.0001	0.29415347137637027
0.001	0.001	0.29415347137637027
0.001	0.01	0.29415347137637027
0.001	0.1	0.29415347137637027
0.001	1.0	0.29415347137637027
0.001	10.0	0.3294762484774665
0.001	100.0	0.6912302070645554
0.001	1000.0	0.9123020706455542
0.001	10000.0	0.9573690621193667
0.001	100000.0	0.9756394640682094
0.01	1e-05	0.29415347137637027
0.01	0.0001	0.29415347137637027
0.01	0.001	0.29415347137637027
0.01	0.01	0.29415347137637027
0.01	0.1	0.29415347137637027
0.01	1.0	0.33008526187576126
0.01	10.0	0.6906211936662606
0.01	100.0	0.912911084043849
0.01	1000.0	0.9573690621193667
0.01	10000.0	0.976857490864799
0.01	100000.0	0.989646772228989
0.1	1e-05	0.29415347137637027
0.1	0.0001	0.29415347137637027
0.1	0.001	0.29415347137637027
0.1	0.01	0.29415347137637027
0.1	0.1	0.32521315468940315
0.1	1.0	0.6857490864799025
0.1	10.0	0.912911084043849
0.1	100.0	0.9585870889159561
0.1	1000.0	0.9792935444579781
0.1	10000.0	0.9920828258221681
0.1	100000.0	0.9987819732034104
1.0	1e-05	0.29415347137637027
1.0	0.0001	0.29415347137637027
1.0	0.001	0.29415347137637027
1.0	0.01	0.32460414129110843
1.0	0.1	0.6717417783191231
1.0	1.0	0.9074299634591961
1.0	10.0	0.9579780755176613
1.0	100.0	0.9792935444579781
1.0	1000.0	0.9945188794153471
1.0	10000.0	0.9993909866017052
1.0	100000.0	1.0
10.0	1e-05	0.29415347137637027
10.0	0.0001	0.29415347137637027
10.0	0.001	0.29415347137637027
10.0	0.01	0.5274056029232643
10.0	0.1	0.8781973203410475
10.0	1.0	0.9415347137637028
10.0	10.0	0.9786845310596833
10.0	100.0	0.9963459196102314
10.0	1000.0	1.0
10.0	10000.0	1.0
10.0	100000.0	1.0
100.0	1e-05	0.29415347137637027
100.0	0.0001	0.29415347137637027
100.0	0.001	0.29415347137637027
100.0	0.01	0.29415347137637027
100.0	0.1	0.6358099878197321
100.0	1.0	0.9823386114494519
100.0	10.0	0.9969549330085262
100.0	100.0	1.0
100.0	1000.0	1.0
100.0	10000.0	1.0
100.0	100000.0	1.0
1000.0	1e-05	0.29415347137637027
1000.0	0.0001	0.29415347137637027
1000.0	0.001	0.29415347137637027
1000.0	0.01	0.29415347137637027
1000.0	0.1	0.29415347137637027
1000.0	1.0	0.9981729598051157
1000.0	10.0	1.0
1000.0	100.0	1.0
1000.0	1000.0	1.0
1000.0	10000.0	1.0
1000.0	100000.0	1.0
