Depth	AC	CNL	DEN	GR	PE	RLLD	LIMSTONE	RES_ZY
3408.4	188.659	16.655	2.913	112.525	3.583	58.791	5	0
3408.5	191.437	17.627	2.927	102.189	3.861	17.133	5	0
3408.6	186.231	16.629	2.931	70.14	4.289	25.993	5	0
3408.7	175.798	13.925	2.918	46.513	4.469	60.982	5	0
3408.8	170.746	12.528	2.911	36.669	4.504	81.065	5	0
3408.9	160.994	9.654	2.895	20.916	4.466	126.248	5	0
3409	156.05	8.06	2.882	13.453	4.263	167.332	1	0
3409.1	153.738	7.004	2.872	8.402	3.85	209.237	4	0
3409.2	154.427	7.012	2.864	7.421	3.601	210.33	4	0
3409.3	154.758	7.069	2.86	7.226	3.503	203.762	4	0
3409.4	155.388	7.285	2.849	7.417	3.36	176.605	4	0
3409.5	155.876	7.64	2.847	8.272	3.385	131.951	4	0
3409.6	156.49	8.206	2.854	9.638	3.51	92.365	4	0
3409.7	156.517	8.467	2.864	10.524	3.63	94.393	4	0
3409.8	156.344	8.538	2.868	10.774	3.683	97.927	4	0
3409.9	155.633	8.564	2.874	10.889	3.775	109.959	4	0
3410	154.322	8.328	2.869	10.001	3.816	123.572	4	0
3410.1	152.012	7.853	2.853	8.614	3.74	125.607	4	0
3410.2	150.561	7.542	2.834	8.381	3.653	104.986	4	0
3410.3	149.961	7.416	2.824	8.255	3.61	95.714	4	0
3410.4	149.01	7.22	2.801	7.984	3.521	79.267	4	0
3410.5	148.603	7.23	2.791	7.72	3.521	76.619	4	0
3410.6	148.94	7.47	2.79	8.368	3.741	94.335	4	0
3410.7	150.258	7.756	2.804	9.239	3.875	148.316	4	0
3410.8	151.081	7.885	2.812	9.617	3.9	181.168	4	0
3410.9	153.047	8.117	2.832	10.259	3.868	258.294	4	0
3411	154.513	8.076	2.852	9.996	3.682	292.25	4	0
3411.1	155.304	7.751	2.868	8.885	3.497	256.952	4	0
3411.2	154.745	7.48	2.874	8.578	3.454	221.103	3	0
3411.3	154.44	7.37	2.877	8.651	3.456	219.585	3	0
3411.4	153.782	7.201	2.882	9.241	3.508	248.969	3	0
3411.5	153.536	7.121	2.884	10.003	3.637	304.702	4	0
3411.6	153.555	7.031	2.885	11.337	3.859	248.939	4	0
3411.7	153.57	6.992	2.883	12.678	3.923	186.162	4	0
3411.8	153.557	6.98	2.88	13.796	3.936	161.211	4	0
3411.9	153.491	6.97	2.872	16.912	3.924	124.149	4	0
3412	154.503	7.254	2.863	26.519	3.847	103.728	5	0
3412.1	159.509	8.526	2.854	54.607	3.764	60.844	5	0
3412.2	166.887	10.347	2.841	79.4	3.846	44.506	5	0
3412.3	171.069	11.383	2.833	90.173	3.912	40.459	5	0
3412.4	180.386	13.7	2.816	108.461	4.091	40.527	2	0
3412.5	187.581	15.514	2.798	114.872	4.263	59.718	2	0
3412.6	192.324	16.808	2.785	108.123	4.4	113.448	2	0
