DEPTH	AC	CNL	DEN	GR	PE	RLLD	Litho_Pre	RES_ZY
3435	209.3739929	37.696	2.868000031	182.0619965	4.56400013	31.26000023	2	2
3435.125	212.7429962	38.676	2.825000048	190.9459992	4.538000107	27.9659996	2	2
3435.25	213.5549927	39.338	2.789999962	199.7409973	4.527999878	24.20100021	2	2
3435.375	212.4790039	39.005	2.782999992	206.1029968	4.554999828	19.96199989	2	2
3435.5	210.0780029	38.339	2.798000097	209.5119934	4.620999813	16.23600006	2	2
3435.625	209.0440064	38.019	2.812999964	214.3910065	4.705999851	13.59799957	5	5
3435.75	211.6190033	37.822	2.802999973	219.720993	4.764999867	11.85099983	2	2
3435.875	214.9680023	38.088	2.769000053	219.6519928	4.761000156	10.91699982	2	2
3436	215.5070038	39.036	2.739000082	217.5899963	4.714000225	10.70100021	2	2
3436.125	214.3890076	39.033	2.733999968	220.7359924	4.679999828	10.98400021	2	2
3436.25	215.5310059	37.939	2.75	226.2319946	4.662000179	11.56599999	2	2
3436.375	219.0679932	36.945	2.765000105	223.9779968	4.602000237	12.35200024	2	2
3436.5	222.0950012	35.541	2.766000032	210.4140015	4.478000164	13.76200008	2	2
3436.625	227.253006	33.064	2.763000011	185.8439941	4.347000122	16.54800034	2	2
3436.75	216.2660065	29.537	2.776000023	155.5930023	4.276000023	21.65399933	2	2
3436.875	190.095993	25.271	2.806999922	124.9100037	4.251999855	29.80400085	2	2
3437	173.9210053	20.874	2.839999914	93.5530014	4.210000038	40.07699966	2	2
3437.125	165.2369995	17.056	2.858999968	64.10600281	4.125	45.01900101	5	5
3437.25	160.6199951	14.324	2.868000031	44.86100006	4.034999847	43.6949997	2	2
3437.375	160.2510071	13.07	2.871000052	42.38000107	3.98300004	38.79399872	2	2
3437.5	165.375	13.183	2.868999958	54.1949997	3.964999914	33.15800095	5	5
3437.625	176.3450012	14.097	2.857000113	71.05200195	3.95600009	28.77899933	5	5
3437.75	190.1419983	15.08	2.836999893	79.50099945	3.930999994	27.00099945	5	5
3437.875	196.6320038	15.304	2.822000027	71.28399658	3.905999899	28.39299965	5	5
3438	196.5140076	14.408	2.822999954	53.3370018	3.921999931	32.65499878	5	5
3438.125	193.3329926	12.786	2.842999935	37.98500061	4.004000187	40.18799973	5	5
3438.25	188.5950012	11.152	2.869999886	29.08099937	4.104000092	51.99100113	5	5
3438.375	183.5659943	9.91	2.884999991	24.47599983	4.150000095	67.48000336	5	5
3438.5	178.0800018	9.218	2.878999949	21.80400085	4.116000176	87.55699921	5	5
3438.625	172.8280029	8.916	2.859999895	19.38500023	4.050000191	109.4909973	5	5
3438.75	168.4779968	8.665	2.839999914	17.59000015	4.005000114	128.5209961	4	4
3438.875	165.3800049	8.254	2.825000048	14.99600029	3.980000019	145.6450043	4	4
3439	164.3289948	7.703	2.812000036	12.93000031	3.944999933	161.1909943	4	4
3439.125	164.6060028	7.233	2.799999952	12.50199986	3.887000084	163.8070068	4	4
3439.25	165.7700043	7.019	2.786999941	13.76200008	3.819000006	148.595993	4	4
3439.375	168.3410034	7.023	2.778000116	16.02400017	3.755000114	128.1009979	4	4
3439.5	172.4869995	7.084	2.779999971	18.3409996	3.701999903	109.6159973	4	4
3439.625	175.6109924	7.074	2.79399991	18.89800072	3.65899992	96.92500305	4	4
3439.75	175.7230072	7.064	2.813999891	19.09600067	3.618999958	92.86499786	4	4
3439.875	173.3359985	7.258	2.829999924	21.32299995	3.584000111	99.0039978	4	4
3440	170.2050018	7.679	2.836999893	23.29800034	3.563999891	114.7050018	4	4
3440.125	167.7160034	8.22	2.835000038	22.37999916	3.562999964	134.4360046	4	4
3440.25	168.3619995	8.899	2.821000099	20.5	3.569999933	145.5269928	4	4
3440.375	176.1300049	9.73	2.798000097	21.18099976	3.562000036	139.6609955	4	4
3440.5	197.2969971	10.632	2.772000074	24.25300026	3.526000023	114.5830002	4	4
3440.625	221.473999	11.481	2.749000073	28.92300034	3.463999987	86.23100281	5	5
3440.75	239.8899994	12.236	2.723999977	43.27799988	3.388000011	66.79399872	2	2
3440.875	248.2810059	13.127	2.693000078	77.47200012	3.302999973	56.95399857	2	2
3441	250.4320068	14.178	2.661000013	123.2429962	3.213999987	60.18999863	2	2
3441.125	245.0809937	14.694	2.638999939	156.4960022	3.134999991	81.52999878	2	2
3441.25	230	14.039	2.638000011	168.1399994	3.085999966	121.3050003	2	2
3441.375	209.9700012	12.412	2.661000013	158.0110016	3.088000059	188.4129944	5	5
3441.5	190.1589966	10.429	2.703999996	124.8909988	3.138000011	289.4129944	2	2
3441.625	173.8569946	8.903	2.750999928	82.44100189	3.210000038	392.9559937	5	5
3441.75	163.0189972	8.087	2.786999941	52.70299912	3.267999888	462.5700073	5	5
3441.875	157.3509979	7.728	2.808000088	41.30099869	3.298000097	507.4750061	5	5
3442	155.3139954	7.652	2.816999912	39.26399994	3.298000097	539.5230103	5	5
3442.125	154.8959961	7.567	2.819000006	34.09199905	3.27699995	543.2689819	5	5
3442.25	154.9589996	7.287	2.815999985	25.95999908	3.247999907	499.1940002	5	5
3442.375	155.371994	7.016	2.812999964	20.09199905	3.232000113	402.3859863	4	4
3442.5	156.1109924	7.031	2.812000036	17.38999939	3.249000073	287.0799866	4	4
3442.625	157.9539948	7.536	2.811000109	19.69099999	3.309000015	189.3659973	4	4
3442.75	162.8760071	8.657	2.808000088	31.77899933	3.395999908	127.4919968	5	5
3442.875	171.378006	10.24	2.803999901	57.60599899	3.473999977	97.98699951	5	5
3443	181.4519959	11.911	2.798000097	97.76999664	3.503999949	94.31600189	5	5
3443.125	187.8600006	13.07	2.788000107	133.0460053	3.476000071	113.3000031	5	5
3443.25	187.3119965	13.041	2.779999971	134.4539948	3.426000118	154.052002	5	5
3443.375	179.7709961	11.511	2.780999899	100.5250015	3.407000065	210.8329926	5	5
3443.5	170.2700043	9.327	2.792000055	60.9659996	3.424999952	255.9559937	5	5
3443.625	163.102005	7.448	2.805000067	35.0699997	3.447999954	275.6679993	5	5
3443.75	158.7960053	6.197	2.815999985	22.69400024	3.440999985	280.5960083	4	4
3443.875	156.5310059	5.476	2.825000048	17.93700028	3.411000013	280.7990112	4	4
3444	155.3110046	5.1	2.832000017	17.74900055	3.385999918	277.5450134	4	4
3444.125	154.6150055	4.992	2.836999893	20.37800026	3.375999928	265.8160095	4	4
3444.25	154.2230072	5.137	2.835000038	23.48699951	3.362999916	231.5240021	4	4
3444.375	154.5619965	5.626	2.819000006	25.56699944	3.334000111	171.9199982	4	4
3444.5	156.3899994	6.716	2.775000095	28.42900085	3.289999962	113.9860001	5	5
3444.625	160.7059937	8.6	2.700000048	38.24599838	3.243999958	73.23400116	2	2
3444.75	172.201004	11.328	2.59800005	63.75799942	3.204999924	49.06200028	2	2
3444.875	192.8699951	14.48	2.492000103	109.1790009	3.164000034	39.07600021	2	2
3445	211.9250031	17.136	2.410000086	156.5449982	3.111999989	37.93299866	2	2
3445.125	221.552002	18.426	2.388000011	179.7120056	3.066999912	42.07400131	2	2
3445.25	219.9420013	18.105	2.434000015	171.8560028	3.059999943	51.2859993	2	2
3445.375	208.8119965	16.672	2.515000105	151.3029938	3.104000092	71.96099854	2	2
3445.5	195.0769959	14.988	2.589999914	137.904007	3.180000067	122.5680008	2	2
3445.625	180.8379974	13.63	2.647000074	134.470993	3.263000011	211.779007	2	2
3445.75	166.6950073	12.487	2.697999954	128.5599976	3.342999935	374.3619995	2	2
3445.875	156.4570007	10.793	2.750999928	104.651001	3.431999922	660.5050049	5	5
3446	151.7279968	8.572	2.799000025	68.53900147	3.530999899	873.1669922	5	5
3446.125	150.6880035	6.613	2.83100009	37.46799851	3.618000031	918.7009888	5	5
3446.25	151.5399933	5.399	2.845000029	22.1779995	3.648000002	940.9719849	4	4
3446.375	152.7899933	4.827	2.845000029	17.64699936	3.611999989	1001.335022	4	4
3446.5	153.7559967	4.626	2.836999893	17.56800079	3.552000046	1098.333008	4	4
3446.625	154.4049988	4.61	2.828000069	18.67099953	3.52699995	1238.748047	4	4
3446.75	154.6170044	4.674	2.823999882	19.26000023	3.536999941	1408.946045	4	4
3446.875	154.4989929	4.722	2.822999954	18.91600037	3.539999962	1546.80603	4	4
3447	154.3139954	4.708	2.825999975	17.23399925	3.50699997	1571.886963	4	4
3447.125	153.9470062	4.629	2.83100009	15.2329998	3.453000069	1489.754028	4	4
3447.25	153.3289948	4.51	2.835999966	16.14900017	3.414000034	1332.899048	4	4
3447.375	153.4980011	4.533	2.838999987	19.4829998	3.413000107	1100.800049	4	4
3447.5	155.2570038	4.894	2.838999987	22.79899979	3.446000099	810.3839722	4	4
3447.625	159.0740051	5.634	2.835000038	27.06599999	3.483999968	552.3439941	5	5
3447.75	165.0780029	6.715	2.825000048	33.89799881	3.499000073	365.4660034	5	5
