Depth	AC	CNL	DEN	GR	PE	RLLD	LIMSTONE	LIMSTON_BP	LIMSTON_DT	LIMSTON_SVM	LIMSTON_STACK	LIMSTON_RF	LIMSTON_ADA	LIMSTON_XGB	LIMSTON_GBC
3435.0	209.3739929	37.696	2.868000031	182.0619965	4.56400013	31.260000229999996	2.0	5.0	2.0	5.0	2.0	2.0	5.0	2.0	2.0
3435.125	212.7429962	38.676	2.825000048	190.9459992	4.538000107	27.9659996	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3435.25	213.5549927	39.338	2.789999962	199.7409973	4.527999878	24.201000210000007	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3435.375	212.4790039	39.005	2.782999992	206.1029968	4.554999828	19.961999889999998	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3435.5	210.0780029	38.339	2.798000097	209.5119934	4.620999813	16.236000060000002	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3435.625	209.0440064	38.019	2.812999964	214.3910065	4.705999851	13.597999570000002	5.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
3435.75	211.6190033	37.822	2.802999973	219.720993	4.764999867	11.850999829999997	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
3435.875	214.9680023	38.088	2.769000053	219.6519928	4.761000156	10.916999819999997	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
3436.0	215.5070038	39.036	2.739000082	217.5899963	4.714000225	10.701000209999998	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
3436.125	214.3890076	39.033	2.733999968	220.7359924	4.679999828	10.984000209999998	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
3436.25	215.5310059	37.939	2.75	226.2319946	4.662000179	11.56599999	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3436.375	219.0679932	36.945	2.765000105	223.9779968	4.602000237	12.35200024	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3436.5	222.0950012	35.541	2.766000032	210.4140015	4.478000164	13.762000079999998	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3436.625	227.253006	33.064	2.763000011	185.8439941	4.347000122	16.54800034	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3436.75	216.2660065	29.537	2.776000023	155.5930023	4.276000023	21.653999329999998	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3436.875	190.095993	25.271	2.806999922	124.9100037	4.251999855	29.804000849999994	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0
3437.0	173.9210053	20.874	2.839999914	93.5530014	4.210000038	40.076999660000006	2.0	5.0	2.0	5.0	2.0	2.0	5.0	2.0	2.0
3437.125	165.2369995	17.056	2.858999968	64.10600281	4.125	45.019001010000004	5.0	5.0	2.0	5.0	2.0	2.0	5.0	2.0	2.0
3437.25	160.6199951	14.324	2.868000031	44.86100006	4.034999847	43.6949997	2.0	5.0	2.0	5.0	2.0	2.0	5.0	2.0	2.0
3437.375	160.2510071	13.07	2.871000052	42.38000107	3.98300004	38.793998720000005	2.0	5.0	5.0	5.0	5.0	2.0	5.0	5.0	5.0
3437.5	165.375	13.183	2.868999958	54.1949997	3.964999914	33.15800095	5.0	5.0	5.0	5.0	5.0	2.0	5.0	5.0	5.0
3437.625	176.3450012	14.097	2.857000113	71.05200195	3.95600009	28.778999330000005	5.0	5.0	5.0	5.0	5.0	2.0	5.0	5.0	5.0
